date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:59:50	0/0	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Oct%202022%2010:59:54%20GMT	https://chemical.ai/robots.txt		(from )
03:59:51	57375/57375	---MCZ	200	added ('OK')	text/html	etag:W/%221d8cda11bf6689f%22	https://chemical.ai/	C:/inetrship/che/chemical.ai/index.html	(from )
03:59:58	155717/155717	---M-Z	200	added ('OK')	text/css	etag:%22FoP0b3jExqcTEIoijdPg6D8KK89S.gz%22	https://www-static.chemicalai.cn/css/bootstrap.min.css	C:/inetrship/che/www-static.chemicalai.cn/css/bootstrap.min.css_;%20filename_=utf-8''bootstrap.min.css	(from https://chemical.ai/)
03:59:59	57997/57997	---M-Z	200	added ('OK')	text/css	etag:%22FtoNGajk--Xektg4UHS5HTLCI5Ie.gz%22	https://www-static.chemicalai.cn/css/animate.min.css	C:/inetrship/che/www-static.chemicalai.cn/css/animate.min.css_;%20filename_=utf-8''animate.min.css	(from https://chemical.ai/)
04:00:01	55266/55266	---M-Z	200	added ('OK')	text/css	etag:%22FpWu2eeUVBa-psAVhfrpOHvcFFZ_.gz%22	https://www-static.chemicalai.cn/css/all.min.css	C:/inetrship/che/www-static.chemicalai.cn/css/all.min.css_;%20filename_=utf-8''all.min.css	(from https://chemical.ai/)
04:00:02	2509/2509	---M-Z	200	added ('OK')	text/css	etag:%22FuJXkRDY45j7xKcZydueeuw2aC5N.gz%22	https://www-static.chemicalai.cn/css/slicknav.min.css	C:/inetrship/che/www-static.chemicalai.cn/css/slicknav.min.css_;%20filename_=utf-8''slicknav.min.css	(from https://chemical.ai/)
04:00:03	3404/3404	---M-Z	200	added ('OK')	text/css	etag:%22FsY59j_xZAQjBvLhsI7kV9PxkSBo.gz%22	https://www-static.chemicalai.cn/css/slick-theme.css	C:/inetrship/che/www-static.chemicalai.cn/css/slick-theme.css_;%20filename_=utf-8''slick-theme.css	(from https://chemical.ai/)
04:00:05	1895/1895	---M-Z	200	added ('OK')	text/css	etag:%22FqSt5WjxHZrq27w9_Rb_tVXgmkWp.gz%22	https://www-static.chemicalai.cn/css/slick.css	C:/inetrship/che/www-static.chemicalai.cn/css/slick.css_;%20filename_=utf-8''slick.css	(from https://chemical.ai/)
04:00:07	3385/3385	---M-Z	200	added ('OK')	text/css	etag:%22Fq2AWNbAS24qRz96W3joOPPaNqNR.gz%22	https://www-static.chemicalai.cn/css/lity.min.css	C:/inetrship/che/www-static.chemicalai.cn/css/lity.min.css_;%20filename_=utf-8''lity.min.css	(from https://chemical.ai/)
04:00:08	2046/2046	---M-Z	200	added ('OK')	text/css	etag:%22FvEQIfZntXhMzwytSbdyWmjh5FI7.gz%22	https://www-static.chemicalai.cn/css/flaticon.css	C:/inetrship/che/www-static.chemicalai.cn/css/flaticon.css_;%20filename_=utf-8''flaticon.css	(from https://chemical.ai/)
04:00:10	55130/55130	---M-Z	200	added ('OK')	text/css	etag:%22FnVV_j5AJd0NqOeZqRAA6RyMgLcF.gz%22	https://www-static.chemicalai.cn/css/video-js-cdn.css	C:/inetrship/che/www-static.chemicalai.cn/css/video-js-cdn.css_;%20filename_=utf-8''video-js-cdn.css	(from https://chemical.ai/)
04:00:11	4145/4145	---M-Z	200	added ('OK')	text/css	etag:%22FvDloCXa0BBYVLwXSdE1rC7aviTl.gz%22	https://www-static.chemicalai.cn/css/nice-select.css	C:/inetrship/che/www-static.chemicalai.cn/css/nice-select.css_;%20filename_=utf-8''nice-select.css	(from https://chemical.ai/)
04:00:12	4345/4345	---M-Z	200	added ('OK')	text/css	etag:%22FhiB7krgPzHGrAjsRwpS3JBFUOpB.gz%22	https://www-static.chemicalai.cn/css/message.css	C:/inetrship/che/www-static.chemicalai.cn/css/message.css_;%20filename_=utf-8''message.css	(from https://chemical.ai/)
04:00:14	1152/1152	---M-Z	200	added ('OK')	text/css	etag:%22Flr6riK7gSp3eYZ-6bzjxg9QNuzA.gz%22	https://www-static.chemicalai.cn/css/owl.carousel.min.css	C:/inetrship/che/www-static.chemicalai.cn/css/owl.carousel.min.css_;%20filename_=utf-8''owl.carousel.min.css	(from https://chemical.ai/)
04:00:15	61531/61531	---MCZ	200	added ('OK')	text/css	etag:W/%221d8ccba53d620db%22	https://chemical.ai/css/style.css	C:/inetrship/che/chemical.ai/css/style.css	(from https://chemical.ai/)
04:00:15	57375/57375	---MCZ	200	added ('OK')	text/html	etag:W/%221d8cda11bf6689f%22	https://chemical.ai/index.html	C:/inetrship/che/chemical.ai/index-2.html	(from https://chemical.ai/)
04:00:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Oct%202022%2011:00:19%20GMT	https://chemical.ai/publicity	C:/inetrship/che/chemical.ai/publicity	(from https://chemical.ai/)
04:00:16	377422/377422	---M--	200	added ('OK')	image/png	etag:%22FsixFV-S25nIgvI_NrSJTIV5TqE7%22	https://www-static.chemicalai.cn/assets/images/moles.png	C:/inetrship/che/www-static.chemicalai.cn/assets/images/moles.png_;%20filename_=utf-8''moles.png	(from https://chemical.ai/)
